TEST - Auction Insights Keywords - Mandarin
1 de julio de 2026 - 31 de julio de 2026
Dominio de URL visible,Palabra clave de la Búsqueda,ID de palabra clave,Buscar tipo de concordancia de palabras clave,Porcentaje de impr. de búsqueda (estadísticas de subasta),Porcentaje de ranking superior de búsqueda,Porcentaje de superposición de búsqueda,Porcentaje de posición superior,Porcentaje de parte superior de la página,Porcentaje absol. en parte superior de la página
Usted,tabiques sanitarios,305986106769,Concordancia exacta,65.42%, --, --, --,83.44%,49.04%
hoff.design,tabiques sanitarios,317307330609,Concordancia de frase,78.40%,49.38%,78.90%,33.72%,75.20%,19.29%
tabiquesymodulos.com.ar,tabiques sanitarios,317307330609,Concordancia de frase,52.47%,62.65%,46.79%,14.71%,46.47%,1.76%
corasa.ar,tabiques sanitarios,305986106769,Concordancia exacta,< 10%,65.42%,6.37%,0.00%,35.71%,0.00%
bestdeco.com.ar,paneles sanitarios,356713619029,Concordancia de frase,< 10%,63.04%,7.53%,9.09%,52.63%,26.32%
mercadolibre.com.ar,tabiques sanitarios,305986106769,Concordancia exacta,10.42%,64.17%,9.55%,20.00%,76.00%,0.00%
heling.com.ar,paneles sanitarios,356713619029,Concordancia de frase,< 10%,62.17%,10.27%,20.00%,54.55%,4.55%
plastileo.com.ar,paneles sanitarios,356713619029,Concordancia de frase,< 10%,61.30%,5.48%,62.50%,92.86%,50.00%
centerplast.com.ar,paneles sanitarios,356713619029,Concordancia de frase,< 10%,63.48%,7.53%,0.00%,69.23%,0.00%
lifecycle.com.ar,paneles sanitarios,356713619029,Concordancia de frase,< 10%,62.17%,8.22%,25.00%,56.25%,12.50%
cabinasyboxs.com,tabiques sanitarios,305986106769,Concordancia exacta,10.83%,62.50%,9.55%,46.67%,88.46%,30.77%
mercadolibre.com.ar,tabiques sanitarios,317307330609,Concordancia de frase,18.21%,65.12%,20.64%,15.56%,76.27%,13.56%
easyboxdivisores.com,tabiques sanitarios,317307330609,Concordancia de frase,< 10%,63.89%,10.55%,47.83%,61.29%,38.71%
Usted,tabiques modulares,372338846597,Concordancia exacta,83.33%, --, --, --,60.00%,60.00%
cabinasyboxs.com,divisiones sanitarias,308250599257,Concordancia exacta,13.64%,60.61%,9.52%,50.00%,88.89%,66.67%
mavatec.com.ar,tabiques modulares,372338846597,Concordancia exacta,50.00%,83.33%,40.00%,0.00%,66.67%,0.00%
fleximuros.com,tabiques modulares,372338846597,Concordancia exacta,33.33%,83.33%,40.00%,0.00%,100.00%,0.00%
hoff.design,tabiques modulares,372338846597,Concordancia exacta,66.67%,83.33%,60.00%,0.00%,75.00%,0.00%
tabiquesymodulos.com.ar,tabiques modulares,372338846597,Concordancia exacta,16.67%,83.33%,20.00%,0.00%,100.00%,0.00%
xingdifeng.com,divisiones sanitarias,308250599257,Concordancia exacta,10.61%,60.61%,11.90%,40.00%,85.71%,14.29%
Usted,divisiones sanitarias,308250599257,Concordancia exacta,63.64%, --, --, --,71.43%,40.48%
gdosmodulos.com.ar,tabiques modulares,372338846597,Concordancia exacta,16.67%,83.33%,20.00%,0.00%,0.00%,0.00%
decibelsudamericana.com,tabiques modulares,372338846597,Concordancia exacta,33.33%,83.33%,20.00%,0.00%,100.00%,0.00%
plusmetal.com.ar,tabiques modulares,372338846597,Concordancia exacta,16.67%,83.33%,20.00%,0.00%,100.00%,0.00%
mavatec.com.ar,divisiones sanitarias,308250599257,Concordancia exacta,48.48%,53.03%,57.14%,29.17%,75.00%,18.75%
hoff.design,divisiones sanitarias,308250599257,Concordancia exacta,81.82%,46.97%,83.33%,31.43%,66.67%,22.22%
tabiquesymodulos.com.ar,divisiones sanitarias,308250599257,Concordancia exacta,40.91%,62.12%,35.71%,6.67%,37.04%,3.70%
mercadolibre.com.ar,divisiones sanitarias,308250599257,Concordancia exacta,19.70%,62.12%,19.05%,12.50%,76.92%,0.00%
xingdifeng.com,divisiones sanitarias,317307324929,Concordancia de frase,13.10%,64.88%,15.25%,14.71%,61.36%,6.82%
tabiquesymodulos.com.ar,divisiones sanitarias,317307324929,Concordancia de frase,36.90%,64.88%,35.87%,6.25%,54.03%,3.23%
mavatec.com.ar,divisiones sanitarias,317307324929,Concordancia de frase,35.12%,60.42%,40.36%,22.22%,75.42%,17.80%
bestdeco.com.ar,paneles sanitarios,353656453099,Concordancia exacta,< 10%,67.65%,8.70%,0.00%,0.00%,0.00%
hoff.design,paneles sanitarios,353656453099,Concordancia exacta,11.76%,67.65%,8.70%,0.00%,100.00%,0.00%
mercadolibre.com.ar,paneles sanitarios,353656453099,Concordancia exacta,20.59%,61.76%,26.09%,33.33%,42.86%,28.57%
mercadolibre.com.ar,divisiones sanitarias,317307324929,Concordancia de frase,24.11%,62.20%,26.01%,24.14%,71.60%,8.64%
hoff.design,divisiones sanitarias,317307324929,Concordancia de frase,75.30%,51.49%,76.68%,29.24%,80.24%,23.32%
farmawall.com.ar,paneles sanitarios,353656453099,Concordancia exacta,17.65%,58.82%,17.39%,75.00%,100.00%,33.33%
Usted,paneles sanitarios,353656453099,Concordancia exacta,67.65%, --, --, --,69.57%,52.17%
valtria.com.ar,paneles sanitarios,353656453099,Concordancia exacta,11.76%,61.76%,8.70%,100.00%,100.00%,100.00%
pipinasvenecitas.com.ar,paneles sanitarios,353656453099,Concordancia exacta,11.76%,67.65%,13.04%,0.00%,100.00%,0.00%
atrimglobal.com,paneles sanitarios,353656453099,Concordancia exacta,11.76%,67.65%,13.04%,0.00%,25.00%,0.00%
mavatec.com.ar,paneles sanitarios,353656453099,Concordancia exacta,47.06%,64.71%,43.48%,10.00%,68.75%,0.00%
Usted,divisiones sanitarias,317307324929,Concordancia de frase,66.37%, --, --, --,82.96%,53.81%
easyboxdivisores.com,divisiones sanitarias,317307324929,Concordancia de frase,< 10%,65.18%,6.73%,26.67%,86.67%,26.67%
tabiquesymodulos.com.ar,paneles sanitarios,353656453099,Concordancia exacta,< 10%,67.65%,8.70%,0.00%,0.00%,0.00%
