TEST - Auction Insights Keywords - Mandarin
1 de agosto de 2026 - 31 de agosto de 2026
Dominio de URL visible,Palabra clave de la Búsqueda,ID de palabra clave,Buscar tipo de concordancia de palabras clave,Porcentaje de impr. de búsqueda (estadísticas de subasta),Porcentaje de ranking superior de búsqueda,Porcentaje de superposición de búsqueda,Porcentaje de posición superior,Porcentaje de parte superior de la página,Porcentaje absol. en parte superior de la página
mercadolibre.com.ar,paneles sanitarios,356713619029,Concordancia de frase,26.33%,64.06%,27.89%,18.87%,71.62%,17.57%
tabiquesymodulos.com.ar,tabiques sanitarios,317307330609,Concordancia de frase,39.58%,58.70%,40.56%,12.21%,49.76%,0.48%
corasa.ar,tabiques sanitarios,305986106769,Concordancia exacta,11.11%,71.98%,10.60%,12.50%,47.83%,4.35%
mercadolibre.com.ar,tabiques sanitarios,305986106769,Concordancia exacta,< 10%,72.46%,10.60%,6.25%,68.42%,0.00%
Usted,tabiques sanitarios,305986106769,Concordancia exacta,72.95%, --, --, --,81.46%,43.05%
xingdifeng.com,tabiques sanitarios,305986106769,Concordancia exacta,28.50%,69.57%,30.46%,15.22%,86.44%,0.00%
hoff.design,tabiques sanitarios,317307330609,Concordancia de frase,69.41%,45.70%,69.66%,37.33%,71.07%,21.21%
made-in-china.com,paneles sanitarios,356713619029,Concordancia de frase,12.81%,66.55%,13.68%,11.54%,77.78%,19.44%
mavatec.com.ar,tabiques sanitarios,317307330609,Concordancia de frase,48.37%,50.29%,53.87%,34.48%,69.96%,25.69%
Usted,paneles sanitarios,356713619029,Concordancia de frase,67.62%, --, --, --,69.47%,52.63%
Usted,tabiques sanitarios,317307330609,Concordancia de frase,61.76%, --, --, --,74.61%,38.08%
xingdifeng.com,tabiques sanitarios,317307330609,Concordancia de frase,10.33%,59.66%,12.38%,27.50%,70.37%,1.85%
ineleconline.com,tabiques sanitarios,317307330609,Concordancia de frase,< 10%,58.70%,7.43%,66.67%,82.22%,51.11%
tabiquesymodulos.com.ar,tabiques sanitarios,305986106769,Concordancia exacta,35.27%,69.57%,35.76%,12.96%,42.47%,4.11%
mavatec.com.ar,paneles sanitarios,356713619029,Concordancia de frase,13.52%,66.19%,15.79%,13.33%,71.05%,13.16%
hoff.design,tabiques sanitarios,305986106769,Concordancia exacta,70.53%,58.94%,70.86%,27.10%,73.97%,9.59%
hoff.design,paneles sanitarios,356713619029,Concordancia de frase,15.30%,66.19%,17.89%,11.76%,58.14%,11.63%
mavatec.com.ar,tabiques sanitarios,305986106769,Concordancia exacta,77.29%,47.83%,80.13%,42.98%,81.88%,38.13%
intraoffice.com.ar,tabiques modulares,372338846597,Concordancia exacta,23.08%,69.23%,22.22%,0.00%,100.00%,0.00%
mercadolibre.com.ar,divisiones sanitarias,308250599257,Concordancia exacta,11.11%,83.33%,10.00%,0.00%,50.00%,0.00%
tabiquesymodulos.com.ar,divisiones sanitarias,308250599257,Concordancia exacta,44.44%,83.33%,50.00%,0.00%,87.50%,0.00%
hoff.design,divisiones sanitarias,308250599257,Concordancia exacta,80.56%,61.11%,83.33%,32.00%,79.31%,20.69%
cerramientos3df.com.ar,tabiques modulares,372338846597,Concordancia exacta,< 10%,69.23%,11.11%,0.00%,0.00%,0.00%
Usted,tabiques modulares,372338846597,Concordancia exacta,69.23%, --, --, --,88.89%,55.56%
cabinasyboxs.com,divisiones sanitarias,308250599257,Concordancia exacta,13.89%,75.00%,16.67%,60.00%,80.00%,20.00%
mpworkplaces.com.ar,tabiques modulares,372338846597,Concordancia exacta,< 10%,69.23%,11.11%,0.00%,100.00%,0.00%
fleximuros.com,tabiques modulares,372338846597,Concordancia exacta,15.38%,69.23%,11.11%,0.00%,50.00%,0.00%
contractworkplaces.com,tabiques modulares,372338846597,Concordancia exacta,15.38%,61.54%,22.22%,50.00%,100.00%,0.00%
tabiquesymodulos.com.ar,tabiques modulares,372338846597,Concordancia exacta,15.38%,69.23%,11.11%,0.00%,0.00%,0.00%
hoff.design,tabiques modulares,372338846597,Concordancia exacta,84.62%,61.54%,77.78%,14.29%,36.36%,0.00%
mavatec.com.ar,tabiques modulares,372338846597,Concordancia exacta,61.54%,61.54%,66.67%,16.67%,25.00%,0.00%
berowood.com,tabiques modulares,372338846597,Concordancia exacta,< 10%,69.23%,11.11%,0.00%,0.00%,0.00%
Usted,divisiones sanitarias,308250599257,Concordancia exacta,83.33%, --, --, --,86.67%,56.67%
xingdifeng.com,divisiones sanitarias,308250599257,Concordancia exacta,13.89%,80.56%,10.00%,33.33%,40.00%,0.00%
kuaiet.com,tabiques modulares,372338846597,Concordancia exacta,< 10%,69.23%,11.11%,0.00%,100.00%,0.00%
plusmetal.com.ar,tabiques modulares,372338846597,Concordancia exacta,38.46%,46.15%,44.44%,75.00%,100.00%,80.00%
decibelsudamericana.com,tabiques modulares,372338846597,Concordancia exacta,30.77%,61.54%,33.33%,33.33%,75.00%,0.00%
cristalcenter.com.ar,tabiques modulares,372338846597,Concordancia exacta,15.38%,61.54%,22.22%,50.00%,100.00%,0.00%
mavatec.com.ar,divisiones sanitarias,308250599257,Concordancia exacta,69.44%,66.67%,73.33%,27.27%,88.00%,12.00%
